model,file,rows_before,rows_after,removed,dup_groups,dup_rows,msg
xgb,xgb_converted_seed_20.csv,50000,2878,47122,2229,47122,
xgb,xgb_converted_seed_21.csv,50000,2056,47944,1525,47944,
xgb,xgb_converted_seed_22.csv,50000,2207,47793,1682,47793,
xgb,xgb_converted_seed_23.csv,50000,2470,47530,1842,47530,
xgb,xgb_converted_seed_24.csv,50000,2686,47314,2048,47314,
xgb,xgb_converted_seed_25.csv,50000,2635,47365,1974,47365,
xgb,xgb_converted_seed_26.csv,50000,2633,47367,1949,47367,
xgb,xgb_converted_seed_27.csv,50000,2241,47759,1628,47759,
xgb,xgb_converted_seed_28.csv,50000,2264,47736,1677,47736,
xgb,xgb_converted_seed_29.csv,50000,2309,47691,1745,47691,
xgb,xgb_converted_seed_3.csv,50000,2548,47452,1874,47452,
xgb,xgb_converted_seed_30.csv,50000,2205,47795,1641,47795,
xgb,xgb_converted_seed_4.csv,50000,1952,48048,1431,48048,
xgb,xgb_converted_seed_5.csv,50000,2392,47608,1823,47608,
xgb,xgb_converted_seed_6.csv,50000,2086,47914,1541,47914,
xgb,xgb_converted_seed_7.csv,50000,2840,47160,2074,47160,
xgb,xgb_converted_seed_8.csv,50000,1876,48124,1384,48124,
xgb,xgb_converted_seed_9.csv,50000,2505,47495,1925,47495,
